batter,bowling_team,runs,balls,strike_rate
WP Saha,Royal Challengers Bangalore,83.0,76,109.21052631578947
WP Saha,Sunrisers Hyderabad,27.0,24,112.5
WPUJC Vaas,Delhi Capitals,28.0,22,127.27272727272727
WPUJC Vaas,Kolkata Knight Riders,9.0,10,90.0
WPUJC Vaas,Punjab Kings,16.0,10,160.0
WPUJC Vaas,Rajasthan Royals,28.0,28,100.0
WPUJC Vaas,Royal Challengers Bangalore,0.0,3,0.0
Y Gnaneswara Rao,Chennai Super Kings,19.0,18,105.55555555555556
Y Nagar,Chennai Super Kings,1.0,2,50.0
Y Nagar,Kochi Tuskers Kerala,40.0,55,72.72727272727273
Y Nagar,Kolkata Knight Riders,29.0,21,138.0952380952381
Y Nagar,Mumbai Indians,0.0,2,0.0
Y Nagar,Punjab Kings,21.0,18,116.66666666666667
Y Nagar,Rajasthan Royals,36.0,30,120.0
Y Nagar,Rising Pune Supergiant,24.0,19,126.3157894736842
Y Nagar,Royal Challengers Bangalore,36.0,40,90.0
Y Nagar,Sunrisers Hyderabad,54.0,37,145.94594594594594
Y Venugopal Rao,Chennai Super Kings,78.0,77,101.29870129870129
Y Venugopal Rao,Delhi Capitals,66.0,60,110.00000000000001
Y Venugopal Rao,Kochi Tuskers Kerala,41.0,49,83.6734693877551
Y Venugopal Rao,Kolkata Knight Riders,111.0,84,132.14285714285714
Y Venugopal Rao,Mumbai Indians,164.0,130,126.15384615384615
Y Venugopal Rao,Punjab Kings,79.0,63,125.39682539682539
Y Venugopal Rao,Rajasthan Royals,97.0,65,149.23076923076923
Y Venugopal Rao,Rising Pune Supergiant,31.0,21,147.61904761904762
Y Venugopal Rao,Royal Challengers Bangalore,109.0,107,101.86915887850468
Y Venugopal Rao,Sunrisers Hyderabad,24.0,38,63.1578947368421
YA Abdulla,Delhi Capitals,0.0,1,0.0
YK Pathan,Chennai Super Kings,132.0,106,124.52830188679245
YK Pathan,Delhi Capitals,162.0,120,135.0
